801,640407,Flight Control,"Control the skies in this engrossing worldwide hit from Firemint. Play solo or with up to three friends. Take on the role of an air traffic controller at an increasingly busy airport. Direct aircraft to their landing zones, but don??????t let them collide. Sound easy? As more and more planes begin to arrive, you??????ll need nerves of steel and smart strategy to keep the chaos under control."
802,954374,FlingSmash,"FlingSmash combines the hands-on fun of tennis with the nonstop action and instant gratification of pinball. When the tropical Suthon Island is invaded by the evil Omminus, the ball-shaped hero, Zip, is summoned to save the day. Using the Wii Remote controller with the Wii MotionPlus accessory, you'll fling Zip at targets to smash your way across eight colorful worlds. Use the Wii Remote like a racket and watch Zip bounce around like a pinball to smash through oncoming barriers and enemies in this action-sidescroller."
803,960343,Flip's Twisted World,"A unique gameplay mechanic is at the center of Flip's Twisted World for Wii. This puzzle platform game puts the world literally in the palm of your hand as you navigate topsy-turvy landscapes where up and down, and left and right are only a matter of perspective. Players will help the curious magician's apprentice Flip rotate the environment 90 degrees at will to solve puzzles and ultimately help Flip escape his cube prison."
804,950801,Flock!,"FLOCK! uses a sophisticated physics engine that drives the challenging puzzle elements of the game. Whether it's using the Tractor beam to move obstacles out of the way, or the Depressor beam to stamp out crop circles to guide your herds, being an extraterrestrial has never been this addictive. Friends can also join in through co-op play. And when all the levels have been completed, users can make their own with the level editor that comes with the game. Flock comes packed with so much content, the potential fun is out of this world! Over 50 levels of pastoral puzzle challenges. Explore levels to find secret collectables and upgrades. Level Editor allows players to make their own plushie and puzzle-filled levels and share them with their friends online. Two-player local co-op mode makes the flocking exponentially fun. Compelling environments complemented by a whimsical art style, beautiful lighting and distinctive textures make this one of the most graphically-advanced downloadable titles to date. Real-world physics engine creates all new types of puzzles: pick up wooden planks to form bridges, move items to create obstructions, crush wheat into pathways."
805,935675,flOw,"flOw is a game about piloting an aquatic organism through a surreal biosphere where players consume other organisms, evolve, and dive into the abyss. With an embedded design of DDA (dynamic difficulty adjustment), players with differing skill levels can intuitively customize their game experience and enjoy the game at their own pace."
806,943340,flower,"The pioneers that brought you the award-winning PLAYSTATION Network title flOw are back with another concept that challenges traditional gaming conventions. Flower expands the team's tradition of delivering simple gameplay, accessible controls and a medium to explore emotional chords uncommon in video games. In Flower, the surrounding environment, most often pushed to the background in games, is pulled to the forefront and becomes the primary character. The player fades from an external and stressful world in the opening of this fresh and genuine game only for PS3, and journeys through beautifully vivid landscapes, changing the his surroundings and exploring nature along the way.Playing as the wind, the player guides and grows a swarm of pedals by interacting with other flowers and the surrounding environment. The goals and journey in each level vary, but all involve flight, exploration and interaction with the level. Using simple SIXAXIS wireless controls, the player guides the lead petal and accumulates a swarm of flower petals as he moves at his own pace within the environment, causing the on-screen world to change. Flower's gameplay offers different experiences, pacing and rhythm to all players. Along the way, the environment will pose challenges to the player's progress.Both pastoral and at times chaotic, Flower is a visual, audio and interactive escape on PS3."
807,973239,Flowerworks,"While our heroine Follie is traveling to meet her auntie with a cargo of mystical Flowerworks seeds, her ship is pulled off course and crash-lands in a particularly dull area of the planet Elilia. Explore with Follie and help her recover her seeds to transform the world from drab to fab. You'll encounter strange inhabitants, some of whom will help Follie in her quest. Others, such as naughty garden gnomes, will hinder it. Flowerworks is a single-player adventure which combines blooming flowers, colorful fireworks, exploration and a whole lot of fun. The game will have the whole family immersed in no time, but be warned: Becoming a Flowerworks master is not for the faint of heart. Flowerworks includes Adventure, FreePlay and Tutorial game modes, with three difficulty settings in a 20-hour adventure."
808,611875,Fluidity,"A magical illustrated encyclopedia called Aquaticus has been tainted by a vial of evil ink called the Influence. As a pool of water that can take on alternate forms of ice and steam, you must overcome obstacles scattered across the pages of Aquaticus and save it from the corruptive Influence. Tilt and twist your Wii Remote controller to use the various forms and properties of water on your free-flowing journey through Aquaticus, where every page has multiple panels and illustrations that come to life. Tackle problems and defeat enemies to reveal magical Rainbow Drops, each of which will restore some of Aquaticus' power and allow it to open more chapters and grant you new powers. These additional powers, such as sticking to objects as a block of ice or shooting bolts of lightning as a steam cloud, will be essential to destroying the Influence and its minions. Along the way, you can also test your ingenuity and reflexes by finding hidden puzzle pieces. These pieces unlock playrooms that give you the opportunity to use the skills you've learned and race against the clock to complete as many challenges as possible. These challenges won't affect your quest to restore Aquaticus' powers, but everyone needs a break now and again, right? Fluidity offers the chance to slosh and slide your way through an imaginative environment filled with challenging adventures. Are you ready to dive into this unique experience?"
809,930085,Folklore,"Folklore is a unique, dark fantasy adventure inspired by western fairy tales. Set in the mysterious town of Doolin, two strangers, Keats and Ellen, are drawn together to uncover a mysterious legend in a remote village that exists on the border between dreams and reality. They soon learn that the town serves as a gateway to fantastic realms, full of creatures, spirits and monsters. In order to solve the mystery of the town, and their past, the pair must journey through these worlds to uncover its secrets."
810,959890,Food Network: Cook or Be Cooked,"With inviting introductory lessons for the novice cook or for foodies who want to put their gastronomic skills to the test, Food Network: Cook or Be Cooked will provide everyone with the proper instructions to become a star chef no matter the experience level.  Designed in collaboration with the executive chefs of the Food Network Kitchens to ensure authenticity, Food Network: Cook or Be Cooked is a fun and entertaining game that can improve a player's cooking skills. Utilizing the Wii motion control capabilities, players will learn as they play through fun and delicious recipe challenges that range from breakfast to family dinners."
